,case,cc3,country,year,systemic_crisis,exch_usd,domestic_debt_in_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,currency_crises,inflation_crises,banking_crisis
0,1,3,0,1870,1,0.052264,0,0,0.0,3.441455696,0,0,0,0
1,1,3,0,1871,0,0.052798,0,0,0.0,14.14913958,0,0,0,1
2,1,3,0,1872,0,0.052274,0,0,0.0,-3.718592965,0,0,0,1
3,1,3,0,1873,0,0.05168,0,0,0.0,11.20389701,0,0,0,1
4,1,3,0,1874,0,0.051308,0,0,0.0,-3.848560701,0,0,0,1
5,1,3,0,1875,0,0.051546,0,0,0.0,-20.92417833,0,0,0,1
6,1,3,0,1876,0,0.051867,0,0,0.0,-1.769547325,0,0,0,1
7,1,3,0,1877,0,0.051867,0,0,0.0,29.11604525,0,0,1,1
8,1,3,0,1878,0,0.051948,0,0,0.0,-1.492537313,0,0,0,1
9,1,3,0,1879,0,0.052029,0,0,0.0,-16.83135705,0,0,0,1
10,1,3,0,1880,0,0.052356,0,0,0.0,3.881188119,0,0,0,1
11,1,3,0,1881,0,0.052029,0,0,0.0,12.61913839,0,0,0,1
12,1,3,0,1882,0,0.050761,0,0,0.0,-12.35612729,0,0,0,1
13,1,3,0,1883,0,0.052002,0,0,0.0,-1.390498262,0,0,0,1
14,1,3,0,1884,0,0.052165,0,0,0.0,-15.94202899,0,0,0,1
15,1,3,0,1939,0,0.44903,0,0,0.0,9.756097561,0,0,0,1
16,1,3,0,1940,0,0.49189,0,0,0.0,22.22222222,0,0,1,1
17,1,3,0,1941,0,0.44937,0,0,0.0,16.36363636,0,0,0,1
18,1,3,0,1942,0,0.75,0,0,0.0,28.125,0,0,1,1
19,1,3,0,1943,0,0.5,0,0,0.0,46.34146341,0,1,1,1
20,1,3,0,1944,0,0.5,0,0,0.0,41.66666667,0,1,1,1
21,1,3,0,1945,0,1.191,0,0,0.0,29.41176471,0,0,1,1
22,1,3,0,1946,0,1.191,0,0,0.0,18.18181818,0,0,0,1
23,1,3,0,1947,0,1.193,0,0,0.0,69.23076923,0,0,1,1
24,1,3,0,1948,0,2.662,0,0,0.0,63.63636364,0,0,1,1
25,1,3,0,1949,0,3.49,0,0,0.0,23.61111111,0,0,1,1
26,1,3,0,1950,0,3.499,0,0,0.0,0.0,0,0,0,1
27,1,3,0,1951,0,3.5,0,0,0.0,6.741573034,0,0,0,1
28,1,3,0,1952,0,3.5,0,0,0.0,6.315789474,0,0,0,1
29,1,3,0,1953,0,3.5,0,0,0.0,-0.99009901,0,0,0,1
30,1,3,0,1954,0,3.5,0,0,0.0,1.0,0,0,0,1
31,1,3,0,1955,0,3.5,0,0,0.0,0.0,0,0,0,1
32,1,3,0,1956,0,3.5,0,0,0.0,1.98019802,0,0,0,1
33,1,3,0,1957,0,4.199,0,0,0.0,2.912621359,0,0,0,1
34,1,3,0,1958,0,4.906,0,0,0.0,12.26415094,0,0,0,1
35,1,3,0,1959,0,4.909,0,0,0.0,9.243697479,0,0,0,1
36,1,3,0,1960,0,4.93706,0,0,0.0,5.384615385,0,1,0,1
37,1,3,0,1961,0,4.93706,0,0,0.0,2.919708029,0,0,0,1
38,1,3,0,1968,0,4.93706,0,0,0.0,6.599987838,1,0,0,1
39,1,3,0,1969,0,4.93706,0,0,0.0,2.626631862,1,0,0,1
40,1,3,0,1970,0,4.93706,0,0,0.0,3.656320975,1,0,0,1
41,1,3,0,1971,0,4.644,0,0,0.0,6.172816266,1,0,0,1
42,1,3,0,1972,0,4.556,0,0,0.0,4.734228715,1,0,0,1
43,1,3,0,1973,0,4.185,0,0,0.0,8.961134756,1,0,0,1
44,1,3,0,1974,0,3.997,0,0,0.0,8.87917187,1,0,0,1
45,1,3,0,1975,0,4.125,0,0,0.0,12.09893382,1,0,0,1
46,1,3,0,1976,0,4.359,0,0,0.0,17.17351914,1,0,0,1
47,1,3,0,1977,0,4.035,0,0,0.0,11.45037883,1,0,0,1
48,1,3,0,1978,0,3.8345,0,0,0.0,9.668492611,1,0,0,1
49,1,3,0,1979,0,3.7555,0,0,0.0,14.60957788,1,0,0,1
50,1,3,0,1980,0,3.9715,0,0,0.0,9.668,1,0,0,1
51,1,3,0,1981,0,4.378,0,0,0.0,14.61,1,0,0,1
52,1,3,0,1982,0,4.6355,0,0,0.0,6.593,1,0,0,1
53,1,3,0,1983,0,4.9165,0,0,0.0,7.835,1,0,0,1
54,1,3,0,1984,0,5.1227,0,0,0.0,6.31,1,0,0,1
55,1,3,0,1985,0,4.7728,0,0,0.0,10.432,1,0,0,1
56,1,3,0,1986,0,4.8235,0,0,0.0,14.007,1,0,0,1
57,1,3,0,1987,0,4.9363,0,0,0.0,5.857,1,0,0,1
58,1,3,0,1988,0,6.7308,0,0,0.0,5.938,1,1,0,1
59,1,3,0,1989,0,8.0324,0,0,0.0,9.172,1,1,0,1
60,1,3,0,1990,1,12.1908,0,0,0.0,9.272,1,1,0,0
61,1,3,0,1991,1,21.3919,0,1,0.23,25.9,1,1,1,0
62,1,3,0,1992,1,22.7814,0,1,0.23,31.7,1,0,1,0
63,1,3,0,1993,0,24.123,0,1,0.23,20.5,1,0,1,1
64,1,3,0,1994,0,42.8925,0,1,0.23,29.0,1,1,1,1
65,1,3,0,1995,0,52.175,0,1,0.23,29.8,1,1,1,1
66,1,3,0,1996,0,56.1859,0,1,0.23,18.7,1,0,0,1
67,1,3,0,1997,0,58.4139,0,0,0.0,5.7,1,0,0,1
68,1,3,0,1998,0,60.3531,0,0,0.0,4.95,1,0,0,1
69,1,3,0,1999,0,69.3143,0,0,0.0,2.6,1,0,0,1
70,1,3,0,2000,0,75.3428,0,0,0.0,0.3,1,0,0,1
71,1,3,0,2001,0,77.8196,0,0,0.0,4.2,1,0,0,1
72,1,3,0,2002,0,79.7234,0,0,0.0,1.43,1,0,0,1
73,1,3,0,2003,0,72.6128,0,0,0.0,4.259,1,0,0,1
74,1,3,0,2004,0,72.6137,0,0,0.0,3.972,1,0,0,1
75,1,3,0,2005,0,73.3799,0,0,0.0,1.382,1,0,0,1
76,1,3,0,2006,0,71.1582,0,0,0.0,2.315,1,0,0,1
77,1,3,0,2007,0,66.8299,0,0,0.0,3.674,1,0,0,1
78,1,3,0,2008,0,71.1826,0,0,0.0,4.855,1,0,0,1
79,1,3,0,2009,0,72.7309,0,0,0.0,5.743,1,0,0,1
80,1,3,0,2010,0,74.9437,0,0,0.0,3.913,1,0,0,1
81,1,3,0,2011,0,76.0563,0,0,0.0,4.522,1,0,0,1
82,1,3,0,2012,0,78.1025,0,0,0.0,8.916,1,0,0,1
83,1,3,0,2013,0,78.1487013,0,0,0.0,3.255,1,0,0,1
84,1,3,0,2014,0,87.9706983,0,0,0.0,2.917,1,0,0,1
85,2,0,1,1921,0,1.25e-08,0,0,0.0,29.62962963,0,0,1,1
86,2,0,1,1922,0,2.21e-08,0,0,0.0,45.71428571,0,0,1,1
87,2,0,1,1923,0,2.81e-08,0,0,0.0,68.62745098,0,0,1,1
88,2,0,1,1924,0,2.08e-08,0,0,0.0,126.744186,0,0,1,1
89,2,0,1,1925,0,1.95e-08,0,0,0.0,-27.17948718,0,0,0,1
